lemma	pos	semantic_tags
Ahonen	pnoun	Z1
aho-orvokki	noun	L3
ahopellava	noun	L3
ahtaa	verb	N5++ A1.1.1
ahtaasti	adv	N3.2-
ahtaminen	noun	N5++ A1.1.1
ahtauma	noun	B2-
ahtaus	noun	N3.2- A1.1.1
ahtautua	verb	N3.2-/A2.1 N5.2+
ahteri	noun	B1
Ahti	pnoun	Z1
Ahtisaari	pnoun	Z1
ahtojää	noun	W3
ahven	noun	L2 F1
Ahvenanmaa	pnoun	Z2
ahvenanmaalainen	adj	Z2
ahvenanmaalainen	noun	Z2/S2
Ahvenanmanner	pnoun	Z2
Ahvenanmeri	pnoun	Z2
Ahveninen	pnoun	Z2
Ahvenisto	pnoun	Z2 Z1
ahvenvita	noun	L3
Ahvo	pnoun	Z1
ai_niin	intj	Z4
ai_tosiaan	intj	Z4
ai-ai	noun	L2
Aidan	pnoun	Z1m
Aiden	pnoun	Z1m
aidosti	adv	A5.4+
aids	abbrev	B2-
Aids	pnoun	B2-
AIDS	pnoun	B2-
aie	noun	X7+
aiemmin	adv	N4 T4++
aiemmuus	noun	N4 T4++
aiempi	adj	N4 T4++
aihe	noun	X4.1 A2.2 L3
aihealue	noun	X4.1
aiheellinen	adj	S6+
aiheellisesti	adv	S6+
aiheellisuus	noun	S6+
aiheeton	adj	S6-
aiheettomasti	adv	S6-
aiheettomuus	noun	S6-
aihepiiri	noun	X4.1
aiheuttaa	verb	A2.2
aiheuttaja	noun	A2.2 A2.2/S2
aiheuttaminen	noun	A2.2
aiheutua	verb	A2.2
aiheutuminen	noun	A2.2
aihio	noun	O2/T2++
Aija	pnoun	Z1f
aika	adv	A13.5
aika	noun	T1
aika_ajoin	adv	N6-
aika_lailla	adv	N5+
aika_päiviä_sitten	adv	T1.1.1
aika_tavalla	adv	N5+
aikaa_myöten	adv	N3.8-
aikaa_vievä	adj	T1.3+
aikaan	adv	Z5
aikaan	prep	Z5
aikaansaada	verb	A2.2
aikaansaaja	noun	A2.2/S2
aikaansaamaton	adj	X5.2-
aikaansaamattomasti	adj	X5.2-
aikaansaamattomuus	noun	X5.2-
aikaansaaminen	noun	A2.2
aikaansaannos 	noun	X9.2
aikaansaanti	noun	A2.2
aikaansaapa	adj	X9.2+
aikaansaava 	adj	X9.2+
aikaileminen	noun	T4-
aikailija	noun	T4-/S2
aikailla	verb	T4-
aikailu	noun	T4-
aikainen	adj	T4+
aikais	CompPart	T4+
aikaiseksi	adv	T4+
aikaisin	adv	T4+
aikaisintaan	adv	T4+++
aikaistaa	verb	T4+/A2.2
aikaistaminen	noun	T4+/A2.2
aikaistus	noun	T4+/A2.2
aikakausi	noun	T1.3
aikakauskirja	noun	Q4.1
aikakauslehti	noun	Q4.2
aikamoinen	adj	A13.3
aikamuoto	noun	Q3
aikana	prep	Z5
aikanaan	adv	T1.1.3 T1.1.1
aikansa	adv	T1.3
aikaraja	noun	S6+/T1.1
aikarajoitus	noun	S6+/T1.1
aikataulu	noun	T1
aikaväli	noun	T1.3
aikido	noun	K5.1
aikoa	verb	X7+
aikoinaan	adv	T1.1.1
aikoja_sitten	adv	T1.1.1
aikojen_kuluessa	adv	N3.8-
aikominen	noun	X7+
aikomus	noun	X7+
aikuinen	adj	T3+
aikuinen	noun	T3+/S2
aikuiskoulutus	noun	P1
aikuiskoulutuskeskus	noun	P1
aikuismainen	adj	T3+
aikuismaisesti	adv	T3+
aikuismaisuus	noun	T3+
aikuistua	noun	T3+
aikuistuminen	noun	T3+/A2.1
aikuisuus	noun	T3+
aikuisväestö	noun	T3+/S5+
aikuisyleisö	noun	T3+/S5+
Aila	pnoun	Z1f
Aili	pnoun	Z1f
aimara	noun	Z2/S2
aimo	adj	A5.1+ N3.2+ A13.3
Aimo	pnoun	Z1m
aina	adv	N6+++ A13.3
Aina	pnoun	Z1f
aina_jossain_määrin	adv	Z5
aina_kulloinkin	adv	Z5
aina_kun	conj	Z5
aina_siihen_asti	adv	Z5
aina_siihen_saakka_että	conj	Z5
aina_siihen_saakka_kun	conj	Z5
aina_siihen_saakka_kunnes	conj	Z5
aina_siitä_asti_kun	conj	Z5
aina_siitä_saakka_kun	conj	Z5
aina_vähän_väliä	adv	N6+
ainainen	adj	T2+++
ainais	CompPart	T2+++
ainakaan	adv	Z4/Z6
ainakin	adv	A13.7
ainavihanta	adj	L3
ainavihreä	adj	L3
aine	noun	O1 P1/Q1.2 F3
aineellinen	adj	A1.6
aineenvaihdunnallinen	adj	B1
aineenvaihdunta	noun	B1
aineenvaihduntahäiriö	noun	B2-
aineeton	adj	A1.6
aineettomuus	noun	A1.6
aineisto	noun	Q1.1
ainemäärä	noun	N5
aines	noun	A1.8+
ainesana	noun	Q3
ainesosa	noun	A1.8+
aineyhdistys	noun	P1/S5+
Aini	pnoun	Z1f
ainiaan	adv	T2+++
Aino	pnoun	Z1f
ainoa	adj	N5---
ainoalaatuinen	adj	N5---
ainoalaatuisuus	noun	N5---
ainoastaan	adv	A14
Ainola	pnoun	Z3/H1 Z1
ainut	adj	N5---
ainutkertainen	adj	N5---
ainutkertaisesti	adv	N5---
ainutkertaisuus	noun	N5---
ainutlaatuinen	adj	N5---
ainutlaatuisesti	adv	N5---
ainutlaatuisuus	noun	N5---
Aira	pnoun	Z1f
Airaksinen	pnoun	Z1
Airbus	pnoun	Z3/M5
airedalenterrieri	noun	L2
Airi	pnoun	Z1f
airo	noun	O2/M4
aisa	noun	O2
aisti	noun	X3 E1
aistia	verb	X3
aistiharha	noun	B2-/X1
aistiharhainen	adj	B2-/X1
aistiharhaisuus	noun	B2-/X1
aistija	noun	X3/S2
aistikas	adj	O4.2+
aistikkaasti	adv	O4.2+
aistikkuus	noun	O4.2+
aistiminen	noun	X3
aistin	noun	B1
aistinelin	noun	B1
aistinepiteeli	noun	B1
aita	noun	H2 K5.1/O2
aitajuoksija	noun	K5.1/S2
aitajuoksu	noun	K5.1
aitapensas	noun	L3
aitaus	noun	H2
Aitken	pnoun	Z1
aito	adj	A5.4+
aitoa	verb	K5.1
aitoelämänlanka	noun	L3
Aitolahti	pnoun	Z2
aitominen	noun	K5.1
aitous	noun	A5.4+
aitta	noun	H1
Aittamäki	pnoun	Z1
aittarakennus	noun	H1
Aittokylä	pnoun	Z2
aituri	noun	K5.1/S2
aivan	adv	A13.2
aivan_kuten	conj	A6.1+
aivastaa	verb	B1
aivastaja	noun	B1/S2
aivastaminen	noun	B1
aivasteleminen	noun	B1
aivastelija	noun	B1/S2
aivastella	verb	B1
aivastelu	noun	B1
aivastus	noun	B1
aivastuttaa	verb	B1
aivina	noun	O1.1
aivo	CompPart	B1
aivohalvaus	noun	B2-
aivohermo	noun	B1
aivoinfarkti	noun	B2-
aivokaari	noun	B1
aivokalvo	noun	B1
aivokalvokasvain	noun	B2-
aivokalvontulehdus	noun	B2-
aivokammio	noun	B1
aivokasvain	noun	B2-
aivokirurgi	noun	B3/S2
aivokuollut	adj	B2-
aivokuollut	noun	B2-/S2
aivokuori	noun	B1
aivokurkiainen	noun	B1
aivokuume	noun	B2-
aivokäyrä	noun	B3
aivolisäke	noun	B1
aivopestä	verb	Q2.1/A2.2
aivopesu	noun	Q2.1/A2.2
aivopieru	noun	X9.1-
aivopoimu	noun	B1
aivopuolisko	noun	B1
aivoriihi	noun	S1.1.3+/X2.4
aivoruhje	noun	B2-
aivorunko	noun	B1
aivosairaus	noun	B2-
aivo-selkäydinneste	noun	B1
aivosilta	noun	B1
aivosolu	noun	B1
aivosto	noun	B1
aivosyöpä	noun	B2-
aivosähkökäyrä	noun	B3
aivot	noun	B1
aivotulehdus	noun	B2-
aivouurre	noun	B1
aivovamma	noun	B2-
aivovaurio	noun	B2-
aivoverenkiertohäiriö	noun	B2-
aivoverenvuoto	noun	B2-
Aix-en-Provence	pnoun	Z2
ajaa	verb	M3 M4 A1.1.1 S7.1+ B4 K5.1 Y2
ajaja	noun	M3/S2 K5.1/S2 M4/S2
ajallinen	adj	T1
ajaminen	noun	M3 M4 A2.2 M1 K5.1 Y2 B4 S7.1+
ajan_mittaan	adv	N3.8-
ajan_myötä	adv	N3.8-
ajan_oloon	adv	N3.8-
ajan_tasalla	adv	T1.1.2
ajan_tasalle	adv	T1.1.2
ajanhetki	noun	T1.2
ajanjakso	noun	T1.3
ajankohta	noun	T1.2
ajankohtainen	adj	T1.1.2
ajankohtaisesti	adv	T1.1.2
ajankohtaisohjelma	noun	Q4.3
ajankohtaisuus	noun	T1.1.2
ajankohtaisviihdeohjelma	noun	Q4.3
ajankäyttö	noun	T1
ajanlasku	noun	T1
ajanmukainen	adj	T1.1.2
ajanmukaistaa	verb	T1.1.2
ajanmukaistaja	noun	T1.1.2/S2
