lemma	pos	semantic_tags
amerika	N	Z2
dohoda	N	A6.1+ Q2.2
ruský	A	Z2
obchod	N	I2.2 I2.1 I3.1 I2.2/N5
ačkoli	J	Z5
prst	N	B1 O4.4
spíš	T	Z4 E2++
jakmile	J	Z5
kromě	R	Z5
významný	A	A11.1+
považovat	V	X2.1 X2.4 X6
zavolat	V	Q2.2 S1.1.1 Q1.3 S9%
vysvětlit	V	Q2.2/A7+ A2.2
člen	N	S5+/S2mf B1
vlastně	T	A5.4+ A14
úroveň	N	N3.7 N5 S5+ A5.1 X9.1 A4.1 S7.1
hned	D	N3.8+ T1.1.2/A11.1+ N4
pán	N	S2.2m
získat	V	A9+ N5+/A2.1
ztratit	V	X9.2- A9- M6/A5.3- L1-
služba	N	S8+ S7.1- I2.2 A1.1.1 S9 I3.1 F1 G3@ G1.1@ G2.1@
zmizet	V	A10- M1 A3-
pracovní	A	I3.1 A1.1.1 A12-
západ	N	Z2 Z1mf
dívka	N	S2.1f L2f@
poznat	V	X2.2+ S3.2/B1%
investice	N	I1.1
přesvědčit	V	A7+/Q2.2
hluboký	A	N3.7+ N5+ O4.3 A4.2+ E4.1- X3.2
zbraň	N	G3 X4.1
dosáhnout	V	A9+ X9.2+
domů	D	H4/H1c M6
patřit	V	A9+ A1.2+ S5+
druh	N	A4.1
chodit	V	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
přece	D	T1.1.2
velice	D	A13.3
pravděpodobně	D	A7+
večer	D	T1.3
stačit	V	N5+ N6+
George	N	Z1m
mrtvý	A	L1- X5.2- A4.2+ A1.1.2 A1.1.1- E3+ B2-
napsat	V	Q1.2 I2.1
všimnout	V	X3.4+ A11.2+ Q2.2 X2.2+ S1.2.4+ G2.1
slunce	N	W1 W2 W4
dolar	N	I1
Ron	N	Z1m
již	D	T1.1.1
najednou	D	N3.8+
soukromý	A	A10- S5- G1.1-
přímo	D	M6 N3.8+ S1.1.1
kam	D	M6
platit	V	I1.2 A9- I1.1/I3.1
zabít	V	L1- A12- A1.5.1 E4.1-/A2.2
schopný	A	X9.1+
Británie	N	Z2
občan	N	G1.1/S2mf S5+/S2mf
otevřený	A	A10+ S1.2.1+ X6- X5.2+ A7+
měnový	A	I1
přestat	V	T2- S8- M8 H4 A1.1.1@
začínat	V	T2+
míra	N	N3.8 N5 I1.3
nejen	T	A14
pozorovat	V	X3.4 S7.1 X2.4 A1.3+
hranice	N	M7/G1.1 O2 B5 L3/H3
vždy	D	N6+++
přát	V	X7+
přestože	J	Z5
syn	N	S4m
Londýn	N	Z2
zeď	N	H2 O2 N5+ S8-
přijmout	V	A9+ X2.5+ S1.2.1+ S7.4+
skončit	V	T2-
vytvořit	V	A1.1.1 A2.2 E1
svoboda	N	A1.7-
bohatý	A	I1.1+ O4.1 N5+ X5.2+ E4.1+
potřeba	N	S6+
západní	A	M6 T3-
