lemma	pos	semantic_tags
AT&amp;T	PROPN	Z3c
ATC	NOUN	G3c
ATM	NOUN	I1/Y2
ATNT	PROPN	Z3c
ATO	NOUN	P1c
ATOs	NOUN	P1c
ATP	PROPN	P1
ATRACT	PROPN	Z3
ATS	PROPN	Z3c
ATV	NOUN	Z3c
AUTEURS	NOUN	Q4.3/S2mf
AVC	PROPN	Z3c
AVI	NOUN	Y2
AWOL	ADJ	G3/G2.1-
AWP	NOUN	K1
AWPs	NOUN	K1
AZT	PROPN	B3
Aaahh	INTJ	Z4
Aagh	INTJ	Z4
Aahh	INTJ	Z4
Aaron	PROPN	Z1m
Abagaveny	PROPN	Z2
Abbey	PROPN	Z3c
Abbey	NOUN	S9/H1
Abbeyfield	PROPN	Z3c
Abbot	PROPN	Z1
Abbots	PROPN	Z1c
Abbott	PROPN	Z1mf
Abbotts	PROPN	Z3c Z1mf
Abdou	PROPN	Z1m
Abdul	PROPN	Z1m
Abdullah	PROPN	Z1m
Abel	PROPN	Z1m
Aberdale	PROPN	Z2
Aberdares	PROPN	Z2
Aberdeen	PROPN	Z2
Aberdulais	PROPN	Z2
Abergavenny	PROPN	Z2
Aberystwyth	PROPN	Z2 Z3c
Abigail	PROPN	Z1f
Abkhazians	PROPN	Z2/S2mf
Aborigine	NOUN	M7/S2mf
Abraham	PROPN	Z1m
Abram	PROPN	Z1m
Abu	PROPN	Z1m
Abyssinian	ADJ	Z2
Academy	NOUN	P1c
Acapulco	PROPN	Z2
Accenture	PROPN	Z3c
Accident	PROPN	Z3c
Accidents	PROPN	Z3c
Accord	PROPN	Z3c
Accra	PROPN	Z2
Accrington	PROPN	Z2
AceNet	PROPN	Z3c/Y2
Aceh	PROPN	Z2/S2mf
Achedale	PROPN	Z2
Achilles	PROPN	Z1m S9
Acholi	PROPN	Z2/S2mf
Acidhead	PROPN	Z3c
Ackerley	PROPN	Z1mf
Ackford	PROPN	Z2
Acquafoil	PROPN	Z3
Acropolis	PROPN	Z2
Actalaunch	PROPN	Z3c
Activate	PROPN	Z3c
Active	PROPN	Z3fn
Acton	PROPN	Z2
Acts	NOUN	A5.4- G2.1 K4 A1.1.1 S9/Q4.1@ P1%
Adam	PROPN	Z1m
Adamsdown	PROPN	Z2
Addas	PROPN	Z3c
Addey	PROPN	Z1m
Addidas	PROPN	Z3c
Addington	PROPN	Z2
Addlestone	PROPN	Z2
Adelaide	PROPN	Z2 Z1f
Aden	PROPN	Z2
Adenoids	NOUN	B1
Adidas	PROPN	Z3c
Adivasis	PROPN	Z2/S2mf
Adler	PROPN	Z1mf Z3c
Administrator	NOUN	S7.1+/S2mf
Admiral	PROPN	G3/S2.2m
Admiral	NOUN	M4/S2m
Admiralty	NOUN	Z3c
Ado	PROPN	Z1
Adolf	PROPN	Z1m
Adonis	PROPN	Z1 S9
Adrian	PROPN	Z1m
Adriana	PROPN	Z1f
Adriano	PROPN	Z1m
Adriatic	PROPN	Z2
Adtranz	PROPN	Z3c
Adventism	NOUN	S9
Adventist	NOUN	S9/S2mf
Adygeis	PROPN	Z2/S2mf
Adzhars	PROPN	Z2/S2mf
Aegean	PROPN	Z2 M7
Aerial	PROPN	Z3
Aeroball	PROPN	Z3c
Aeroflot	PROPN	Z3c/M5
Aerosmith	PROPN	Z3c
Aerospace	PROPN	Z3c
Aesop	PROPN	Z1 Q4.1
Afars	PROPN	Z2/S2mf
Affector	PROPN	B5/Z3c
Affin-OUA	PROPN	Z3c
Affin-UOB	PROPN	Z3c
Afghan	NOUN	Z2/S2mf
Afghan	ADJ	Z2 Z2/Q3
Afghanistan	PROPN	Z2
Afghans	NOUN	Z2/S2mf
Africa	PROPN	Z2
African	ADJ	Z2
African	NOUN	Z2/S2mf
African-American	ADJ	Z2
African-American	NOUN	Z2/S2mf
African-Americans	NOUN	Z2/S2mf
African-Arabic	ADJ	Z2
Africans	NOUN	Z2/S2mf
Afrid	PROPN	Z3c
Afrikaan	NOUN	Z2/S2mf
Afrikaaner	NOUN	Z2/S2mf
Afrikaaners	NOUN	Z2/S2mf
Afrikaans	NOUN	Z2/S2mf
Afrikaner	NOUN	Z2/S2mf
Afrikaners	NOUN	Z2/S2mf
Afro	ADJ	Z2
Afro	NOUN	O4.1 B4
Afro-American	NOUN	Z2/S2mf
Afro-Americans	NOUN	Z2/S2mf
Afro-Brazilian	NOUN	Z2/S2mf
Afro-Brazilians	NOUN	Z2/S2mf
Afro-Caribbean	ADJ	Z2
Afro-Caribbean	NOUN	Z2/S2mf
Afro-Colombian	ADJ	Z2
Afro-Colombian	NOUN	Z2/S2mf
Afro-Colombians	NOUN	Z2/S2mf
Afta	PROPN	Z3c
Agassi	PROPN	Z1mf
Agatha	PROPN	Z1f
Agfa	PROPN	Z3c
Aggra	PROPN	Z2
Agila	NOUN	L3
Agincourt	PROPN	Z2
Agnes	PROPN	Z1f
Agora	PROPN	Z2
Ah-ha	INTJ	Z4
Aha	INTJ	Z4
Ahab	PROPN	Z1m
Ahhh	INTJ	Z4
Ahmadiyya	PROPN	S9/S2mf
Aida	PROPN	Z3
Aided	VERB	S8+
Aiden	PROPN	Z1m
Aigle	PROPN	Z3c
Aintree	PROPN	Z1m
Airbus	NOUN	M5
Airdree	PROPN	Z2 Z3c
Airedale	PROPN	Z2
Airfix	PROPN	Z3c
Airtight	ADJ	A1.7+
Airtour	PROPN	Z3c
Airway	PROPN	Z3c
Aitken	PROPN	Z1mf
Ajax	PROPN	Z3c Z1m
Akan	PROPN	Z2/S2mf
Akela	NOUN	K1/S2mf
Akhbar	PROPN	Z1m
Akinoglu	PROPN	Z1
Akira	PROPN	Z1m
Akomo	PROPN	Z2c
Akon	PROPN	Z3
Al	PROPN	Z1m
Aladdin	PROPN	Z3 Z1m
Alam	PROPN	Z1m
Alan	PROPN	Z1m
Alarg	PROPN	Z2
Alaska	PROPN	Z2
Alastair	PROPN	Z1m
Alban	PROPN	Z2 Z1m
Albania	PROPN	Z2
Albanian	ADJ	Z2
Albanian	NOUN	Z2/S2mf
Albanians	NOUN	Z2/S2mf
Albans	PROPN	Z2
Albany	PROPN	Z1m Z2
Alberfuera	PROPN	Z2
Albermyle	PROPN	Z2 Z1mf
Albert	PROPN	Z1m
Alberto	PROPN	Z1m
Albion	PROPN	Z3c Z2
Alcatraz	PROPN	Z2 Z3c
Alcester	PROPN	Z2
Alco	PROPN	Z3c
Aldborough	PROPN	Z2
Aldenbury	PROPN	Z2
