lemma	pos	semantic_tags
антрон	S	O1.1
антропометрия	S	Y1/B1
антураж	S	O4.1
анфас	ADV	M6/B1
аорта	S	B1
апатия	S	X5.2-
апаш	A	B5
апекс	S	W1
апеннинский	A	Z2
аперитив	S	F2
апитерапия	S	B3
апноэ	S	B1 B2- K5.1
апогей	S	W1 A5.1+++
аполлон	S	S9/S2.2m C1/S2.2m L2mf W1 Z3c/M5/W1
апоморфин	S	B3
апоневроз	S	B1
апорт	S	L3/F1 Z4
апостиль	S	Q1.2/G1.1
апофема	S	N3.7/N2
апоцентр	S	W1
аппарат	S	O2/Y1 Q1.2 B1 S7.1 I3.1/S2mf
аппаратостроение	S	I4/O2
аппаратура	S	O2
аппеляция	S	G2.1 P1 Q2.1/Y2
аппендикс	S	B1 O2 H2
аппендицит	S	B2-
апперкот	S	K5.1
аппликация	S	C1 B3
аппретирование	S	A1.1.1/B5
апрель	S	T1.3
аптека	S	B3/H1
аптекарь	S	B3/I3.2/S2mf
аптечка	S	B3 B3/H5 B3/H1
ар	S	N3.6
араб	S	Z2/S2mf
арабеска	S	C1 K2
арабка	S	Z2/S2.1f
арабский	A	Z2
аравийский	A	Z2
арак	S	F2
аральский	A	Z2
арафурский	A	Z2
арахис	S	L3/F1
арахноидит	S	B2-
арбитр	S	G2.1/S2mf K5/S2mf
арбитраж	S	G2.1
арбитражный	A	G2.1
арбуз	S	L3/F1
арбузный	A	F1/L3 L3
аргумент	S	X2.1/A2.2 N2
арена	S	K5.1/H1 K1/H1 M7 X4.1
аренда	S	I2.2 I1.3 G1.1
арендовать	V	I2.2
арест	S	G2.1
арестовывать	V	G2.1
аристократизм	S	O4.2+/S7.1+/S1.2
аритмия	S	B2-
арифметика	S	N2 P1
арккосинус	S	N2
арккотангенс	S	N2
арксинус	S	N2
арктангенс	S	N2
арманьяк	S	F2
арматурщик	S	I4/I3.2/S2mf
армеец	S	G3/S2.2m K5.2/S2.2m
армейский	A	G3
армия	S	G3 N5+
армрестлинг	S	K5.1
армуар	S	H5
армяк	S	B5
арония	S	L3/F1
арсенал	S	G3 X4.2 Z3c/K5.2
артерия	S	B1 M4
артикул	S	A4.1/I2.2 Q1.2
артиллерийский	A	G3
артиллерист	S	G3/S2mf
артиллерия	S	G3
артист	S	K4/S2m K2/S2m A5.1+++/S2m A5.4-/S2m
артишок	S	L3/F1
артрит	S	B2-
артроз	S	B2-
архаизм	S	Q3/T3+++ T3+++
архалук	S	B5
архангельский	A	Z2
архетип	S	Q1.2/T3+++ Q3
архив	S	Q1.2/A9+/H1 Q1.2/A9+/H2 Q1.2/A9+ Q4.1
архивариус	S	Q1.2/I3.2/S2mf
архиватор	S	Y2
архикортекс	S	B1
архитектоника	S	N5.1+/C1 N5.1+/Q4.1 N5.1+/K2
архитектор	S	H1/I3.2/S2mf
архитектура	S	H1
архитектурный	A	H1
аршин	S	N3.7
ас	S	M5/S2mf X9.1+++/S2mf
асимптота	S	N2
аскаридоз	S	B2-
аспект	S	X2.1 X4.1
аспермия	S	B2-
аспирин	S	B3
асс	S	I1
ассамблея	S	G1.1/S5+
ассемблер	S	Y2
ассигнация	S	I1
ассо	S	K5.1 Z3c
ассортимент	S	A6.3+
ассоциация	S	S5+ N5+ A2.2 X2.1
астения	S	B2-
астероид	S	W1
астигматизм	S	B2-
астма	S	B2-
астматол	S	B3
астрагал	S	L3 C1/H1
астрономия	S	Y1/W1 P1
асфальтировщик	S	I4/I3.2/S2mf
асфен	S	B3
асфиксия	S	B2-
асфикция	S	B2- L1-/G2.1
атавизм	S	B1 T3+/S1.1.1 T1.1.1
атака	S	G3 K5 A1.1.1 B2-
атаковать	V	G3 K5 E3- X8+
атеросклероз	S	B2-
атлант	S	S9/S2.2m C1 B1 W1
атлас	S	Q4.1 B5
атлет	S	S1.2.5+/B1/S2.2m K5.1/S2.2m K1/S2.2m
атлетизм	S	S1.2.5+/B1 K5.1
атлетика	S	K5.1 K1
атмосфера	S	W3 W1 E1 N3.5
атмосферный	A	W1 W4
атом	S	O1 Y1
атомный	A	O1 Y1
атония	S	B2-
атраментум	S	O4.3 O1.2/Q1.2
атрибут	S	O4.1/A11.1+ O2/A11.1+ Q3
атрибутика	S	O2
атрибуция	S	A5.4
атропин	S	B3
атрофия	S	B2- E1-
атташе	S	G1.1/S2mf
аттестация	S	I3.2 A5.1/S1.2
аудиенция	S	G1.1/S1.1.1 Q2.1
аудит	S	I2.1/I1
аудитор	S	I2.1/I1/S2mf
аудитория	S	H2 S2mf
аукцион	S	I2.2
аукционный	A	I2.2
аул	S	M7 S5+
аустраль	S	I1
аут	S	K5.2 Z3c
аутрайт	S	I1
аутсайдер	S	K5/X9.2-/S2mf I2.2
афазия	S	B2-
афганец	S	Z2/S2mf G3/S2mf
афгани	S	I1
афганский	A	Z2
афелий	S	W1
африканец	S	Z2/S2mf
африканка	S	Z2/S2.1f
африканский	A	Z2
аффект	S	E3---
ах	INTJ	Z4
ацидофилин	S	F1
аэробатика	S	K5.1/M5
аэрограф	S	O2
аэродром	S	M5/M7
аэролит	S	W1
аэрон	S	B3
аэропорт	S	M5/M7
б	PART	Z5
