mwe_template	semantic_tags
上层_noun 建筑_noun	S1.1.1/X2.1/G1.2 O4.1
上帝_pnoun 的_part 选拔_noun	G1.2/X7+
上流_adj 社会_noun	A1.1.1 B5 O4.2+ X4.2
上流_noun 阶级_noun	S5+c S7.1+c
上流_verb 社会_noun	H1 O4.2+ E2+ T3- S7.1+ S7.1+/S5
上流_verb 社会_noun 的_part 人_noun	W1 S5+c A4.1 N5+
上演_verb 节目_noun	Y2 P1 X7+ Q4.3 Q1.2
上皮_noun 细胞_noun	B1
上等_adj 珍珠_noun	M6 A6.2+
上等_adj 细_adj 麻布_noun	L3/H3
上级_noun 勋爵_noun	S7.1+/S2mf G3/S7.1+/S2mf G2.1/S2mf
上诉_noun 期限_noun	A1.7+
上述_adj 的_part 事_noun	A13.3 M6 Z5 Z8
上述_adj 的_part 会馆_noun	S5+c S7.1+ H1c S1.1.1 T2+
上部_noun 构造_noun	S1.1.1/X2.1/G1.2 O4.1
上面_noun 爬_verb	M1 N3.8- S7.1- M4
下_det 一_num 个_msr	Z3c
下_det 一_num 个_msr 人_noun	N4
下_det 一_num 次_msr	N4
下_det 反对_verb 命令_noun 召回_verb	T2-/S7.1+
下_det 意识_noun	X2 X2.2-
下_det 投_verb	G2.2-
下_verb 了_part 决心_noun	A2.2 A7+ X6+
下_verb 决定_noun	X9.2+
下_verb 决心_noun	A2.2 A7+ X6+ X9.2+
下_verb 决断_verb	Q3 Q2.2
下_verb 判决_noun	G2.1 X6 G2.1/I3.2/S2mf X6/S2mf
下_verb 判断_noun	A2.2 X2.1 Q2.2
下_verb 咽_verb 运动_noun	B1 X2.1/A7+ A10-/E1
下_verb 小雨_noun	A1.1.1 N5
下_verb 方地_noun	M6 N5-/A2.1 A5.1-/A2.1
下_verb 毛毛雨_noun	W4 M2
下_verb 沈_pnoun	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3 M7 Q2.2 I1.2 N5 N2 K4 O3 S5+c K5.1%
下_verb 生的_noun	S7.1-- A5.1-- S7.1--/S2mf A5.1--/S2mf
下_verb 男_noun	B4 P1 L2/S2mf S4/S2.2m
下_verb 结论_noun	X6+ T2-
下_verb 脚料_noun	F1 N5.2+/A1.5.1-
下_verb 行的_noun	M1 N5-/A2.1 S4 M6
下_verb 赌注_noun	A1.4 I1/A1.4 S1.1.2+ O2
下垂_noun 如_adv 空囊_verb	A9+ K5.1 B5 O2 B1
下层_noun 丛林_noun	L3
下层_noun 人民_noun	S1.1.1 S5+c
下层_noun 社会_noun	A9- A2.2 Q2.2 S1.1.3+ Q4.3 O4.1 K4 G2.1-c S9 T1.1.2 A3+
下层_noun 阶级_noun	S5+
下巴_noun 的_part 胡子_noun	A1.1.1 L2
下期_noun 预告_verb	A11.1+ Q1.2
下等_adj 的_part 物_noun	S7.1-- A5.1-- S7.1--/S2mf A5.1--/S2mf
下级_adj 之人_noun	S7.1-- A5.1-- S7.1--/S2mf A5.1--/S2mf
下行_verb 装载_verb	M2
下赌_verb 者_noun	I1/A1.4 X2.6+
下达_verb 简令_noun	Q2.1
下部_noun 构造_noun	I2.1/S8+
下降_verb 趋势_noun	M6 A5.1- N5-/A2.1
下院_noun 议员_noun 选区_noun 的_part 小都市_pnoun	M7c G1.1c
下陷_verb 或_conj 凹下_adv 去的_verb 地方_noun	B1
下面_noun 的_part 水流_noun	E1 W3/M4
不_adv 上算_verb	A1.5.2- I1.1-
不_adv 与人_verb 亲近_verb	S1.2.1-
不_adv 严厉_verb	X2.4-
不_adv 严格_verb	A5.1+ G2.2+ S1.2.4+
不_adv 乾净_verb	G2.2- O4.2-
不_adv 任性_adj	S1.2.3- S1.2.2-
不_adv 会_verb 枯竭_verb	A10+/S2mf
不_adv 会_verb 错的_verb	A7+
不_adv 伴随_verb	S5-
不_adv 体贴_verb	S1.2.3+
不_adv 保险_noun	W4 A1.6 I1.3-
不_adv 值得_verb	M6 S1.1.4- G2.2- Z5
不_adv 值得_verb 尊敬_noun	S1.1.4- G2.2-
不_adv 值得_verb 羡慕_noun	E2- A12-
不_adv 值得_verb 考虑_noun	X2.1- X2.4- X6-
不_adv 值钱_verb	A1.5.2- A11.2+ F1 I1 I1.1- A5.1- N5- E4.1- X9.1- O4.2- S7.1-
不_adv 值钱_verb 的_part 东西_noun	F1
不_adv 值钱_verb 的_part 商品_noun	A11.2+
不_adv 健全_verb	A1.1.2 A5.1- G2.2- B2- Z4 N5+ A1.2- O4.2- E4.1-
不_adv 健康_verb	B2- A1.2- I1.1- A5.1- N5- E4.1- X9.1- O4.3
不_adv 像_prep 大人_noun	S1.2/T3- S1.2.6-
不_adv 充份_adv	A6.1- N5-
不_adv 充份地_verb	Q3
不_adv 决断_verb	M2 X7+ S1.2
不_adv 剩_verb	M6 K1 A1.1.1 A1.9 Z5 E2-
不_adv 动心_verb	E1- M8
不_adv 势均力敌_verb	O4.4 A6.3+ A6.1-
不_adv 原谅_verb	G2.2-/S1.2 A12-
不_adv 参加_verb 罢工_noun 的_part 工人_noun	L2mfn G2.2-/S2mf Q2.2 A1.9
不_adv 发生_verb 效力_noun	A1.5.2-
不_adv 受_verb 喜欢_verb	X7-
不_adv 受_verb 处罚_noun	G2.1
不_adv 受_verb 天气_noun 影响_noun	A1.1.1/W4 B5/W4
不_adv 受_verb 惩罚_noun	A1.9/G2.1
不_adv 受_verb 感谢_noun	X7-
不_adv 受_verb 抑制_noun	S7.1- A1.7-
不_adv 受_verb 控制_noun	S7.1- A1.7-
不_adv 受_verb 束缚_noun	A1.7-
不_adv 受_verb 欢迎_noun 的_part 人_noun 或_conj 物_noun	O4.2- X7-
不_adv 受_verb 款待_noun	X7-
不_adv 受_verb 法律_noun 支配_verb	G2.1- G2.2-
不_adv 受_verb 限制_noun	A1.7-
不_adv 变的_verb	A2.1- N2 A6.1+++ M8 T2++@ H4@ S7.1-@ N1 T3 T1.2 T2++ S6+ T2+++ Z3c Z8
不_adv 变的_verb 事物_noun	A2.1- N2 T2++ S6+
不_adv 可_verb 变的_verb	A2.1-
不_adv 可_verb 挽救_verb	A5.1--- L1-
不_adv 可_verb 明言_verb	A10-/Q2.2
不_adv 可_verb 毁灭_verb	O4.1
不_adv 可_verb 理解_verb	X2.5-
不_adv 可_verb 用的_verb	A1.5.1- A1.5.2-
不_adv 可_verb 疏忽_noun	N5+
不_adv 可_verb 许可_verb	S7.4- G2.1
不_adv 可_verb 调整_verb	A2.1-
不_adv 可_verb 达到_verb	A7-
不_adv 可_verb 预知_verb	X2.6-
不_adv 可_verb 饶恕_verb	I1 P1/I3.2/S2.2m S7.1+ S7.1+/S2mf
不_adv 可触知_verb	A1.6 C1
不_adv 可调_verb	A2.1-
不_adv 合_verb 规则_noun	S7.4-
不_adv 名誉_adj	G2.2- A5.1- S7.2- A5.1-/A2.1 A1.1.2 S1.2.4- G3@ S9 X2.2+/G2.2-
不_adv 名誉_noun	A5.1- G2.2- S7.2- X3.4 Y1/M2 A2.2/A10+ X2.1
不_adv 吝啬地_noun	N5+ A1.7- A5.2+ A12+ X5.2+
不_adv 响的_verb	X3.2- X9.1- S1.2.6-
不_adv 在_verb 地主_noun	S1.1.3-/S2mf
不_adv 坚强_verb	O4.1
不_adv 增减_verb	M8
不_adv 夸张地_verb	A13.2 Q3
不_adv 妥当_verb	G2.2-
不_adv 存在_verb	A3- N5.1--- A11.1--- Q2.2/Z6 A1.1.2
不_adv 存在_verb 之物_noun	A3- A5.2-
不_adv 存留_verb	A1.7- O2 X2.2- Y2
不_adv 安稳_noun	A15-
不_adv 完全_verb	A5.1- B2-/X1 A6.2- N6- A13.4 B2- E4.1+ N1 N5 N5.1- N5c O4.2- A1.2- E3-
不_adv 完全地_verb	N1 A13.4 N5 N5c O4.2- A5.1- A1.2- O4.3 S1.2.5-
不_adv 宜_verb 印出_verb	S1.2.4-
不_adv 密致_verb	A10+ S1.2.1+ X6- X5.2+ A7+ T2+ K5.1
不_adv 察觉_verb	B1 X2.2-
不_adv 广播_verb	O4.2+
不_adv 延迟_verb	T4
不_adv 延迟_verb 地_noun	T1.1.2
不_adv 开心_verb	O1 K2 F3%
不_adv 恰当_verb	S1.2.4-
不_adv 惹_verb 目地_noun	H2
不_adv 惹眼_verb	G2.2-
不_adv 感动_verb	A2.1- O4.1 F1/N5.2+
不_adv 感恩_verb	S1.2.4-
不_adv 感觉_verb	L1- T2- O2
不_adv 愿_verb 做_verb	Q2.2/Z6 S7.4- X7- X7-/O2
不_adv 愿_verb 向前_adv 走的_verb	X5.2-
不_adv 愿_verb 说的_verb	O4.2-
不_adv 慌忙_verb	X2.1 X2.4 X7+ A1.3+
不_adv 懂_verb 礼貌_noun 的_part 人_noun	S1.2.4-/S2mf
不_adv 懂_verb 道理_noun	S1.2.6-
不_adv 戴_verb 帽子_noun	O4.2
不_adv 承认_verb	X2.1 Q2.2 T2-
不_adv 投合_verb	O4.2-
不_adv 拥有_verb	G2.1+ G2.2+
不_adv 按时_adv	T4+
不_adv 摆_verb 架子_noun	S7.1-
不_adv 明确地_pnoun	A7-
不_adv 易_adv 了解_verb	A7- A10- O4.3 O4.1
不_adv 易_adv 处理_verb	A12- E6- E3-
不_adv 普通_verb	A6.2-
不_adv 正经_adj	O4.2-
不_adv 民主_verb	G1.2
不_adv 沈著的_verb	X5.2+/S1.2 E3-/S1.2
不_adv 注意_verb	A1.3- E6+ A11.1- S1.2.3+ X2.2- X5.1-
不_adv 注意_verb 地_part	A1.3- E6+ A1.4
不_adv 涂_verb 奶油_adj	O1.2- F2- X3.1 X9.1+ X5.2- N5- Q2.1/N5-
不_adv 满意_verb	E4.2- A1.2-
不_adv 满的_verb	E4.2-
不_adv 灵活的_verb	E6- L1-/S2mf O4.1 O4.5 B2- S1.2.1- A12- E3-
不_adv 照_verb 顺序_noun	G2.1-
不_adv 畅快_verb	O4.3 E4.1-
不_adv 疏忽_noun	B1 X2.5+
不_adv 相关_verb	A2.2-
不_adv 相称_verb	A1.2- A9- S1.1.4- G2.2- N5.2+
不_adv 相称地_verb	S1.1.4-
不_adv 真实_verb	A5.2- S6- S9
不_adv 真洁的_verb	A5.2-
不_adv 真确_verb	A5.3-
不_adv 矛盾_verb	A2.2 S1.2.1+/E3+ A6.1
不_adv 知_verb 礼仪_noun 的_part 人_noun	G2.2-/S2mf
不_adv 矫揉造作_verb	A2.1-
不_adv 矫饰地_verb	A6.2+ Z4 W5 A12+ X9.1+
不_adv 稀罕_adj	T1.1.2 A6.2+
不_adv 穿上_verb 装的_noun	B5-
不_adv 答应_verb	E2-
不_adv 简洁_verb	B3
不_adv 精致_verb	O4.2-
不_adv 精采_adj	O4.3
不_adv 羡慕_verb	E2- A12-
不_adv 耐_verb	X5.2+ E3-
不_adv 聪明_verb	S1.2.6-
不_adv 肯_verb 听话_verb	S1.2/A2.1-
不_adv 肯定_verb	A7-
不_adv 能_verb	B2- N6-
不_adv 能_verb 下定义_verb	A7-
不_adv 能_verb 代替_verb	A2.1+/A7---
不_adv 能_verb 作废_verb	A1.9-
不_adv 能_verb 使用_verb	I3.1
不_adv 能_verb 信用_noun	A6.2- A5.1+ A5.2-
不_adv 能_verb 信赖_verb	A5.1- O4.5 G2.2-
不_adv 能_verb 倒逆_verb	A2.1-
不_adv 能_verb 做_verb	A7- A12-
不_adv 能_verb 偿清_verb 负责_verb	T4- M2 M1
不_adv 能_verb 决定_verb	A7- X6-
不_adv 能_verb 击发_verb	A1.1.2 A1.1.1 X3.2 Q2.2 C1 N3.8+ K5.2 T1.3 Z4
不_adv 能_verb 分割_verb	N5.1+
不_adv 能_verb 分离_verb	S5+++ A1.7+++
不_adv 能_verb 利用_verb	A3- A9-
不_adv 能_verb 制胜_verb	A12-
不_adv 能_verb 削减_verb 的_part 不可约的_verb	N3.2/A2.1- A12+/A2.1-
不_adv 能_verb 动的_verb	A1.5.1- A1.5.2- X5.2- S1.2 M8
不_adv 能_verb 协调_verb	A6.1- E3-
不_adv 能_verb 反驳_verb	A7+ A5.2+ S7.1+ N5+ S1.2.3+
不_adv 能_verb 取消_verb	A2.1-
不_adv 能_verb 取消地_verb	A2.1-
不_adv 能_verb 受雇_verb	I3.1
不_adv 能_verb 和解_verb	A6.1- E3-
不_adv 能_verb 复原_verb	A2.1- A9-
不_adv 能_verb 复归_verb	N3.2/A2.1- A12+/A2.1-
不_adv 能_verb 实施_verb	A7- A12-
不_adv 能_verb 当作_verb	Z6/Z8c
不_adv 能_verb 忍受_verb	G2.2- S7.4-
不_adv 能_verb 忍耐_noun	O4.2-
不_adv 能_verb 想_verb	A5.2-/A8 A7-
不_adv 能_verb 想像_verb	A5.2-/A8 A7-
不_adv 能_verb 感知_verb	X3.4- A11.2-
不_adv 能_verb 抵抗_verb	S7.1+ N5+ S1.2.3+
不_adv 能_verb 挽回_verb	A1.1.2 A2.1- A9-
不_adv 能_verb 挽回地_verb	A1.1.2
不_adv 能_verb 改变_verb	A2.1-
不_adv 能_verb 改善_verb	E4.1- X5.2+
不_adv 能_verb 断定_verb	A7-
不_adv 能_verb 架桥_verb	A6.1-
不_adv 能_verb 根剧_verb 遗嘱_noun 处分_noun	G2.1
不_adv 能_verb 比较_verb	A6.1+
不_adv 能_verb 消除_verb	O4.1
不_adv 能_verb 理解_verb	X2.5-
不_adv 能_verb 用以_verb 代替_verb 不定词_noun	Z5
不_adv 能_verb 用语_noun 言_verb 表达_verb	A7-
不_adv 能_verb 相信_verb 地_part	A13.3 A6.2-
不_adv 能_verb 破坏_verb	O4.1
不_adv 能_verb 破损_verb	A1.1.2- S1.2.5+
不_adv 能_verb 维持_verb	S1.2.6- S1.2.5-
不_adv 能_verb 解决_verb	A7- X6-
不_adv 能_verb 解释_verb	X2.5-
不_adv 能_verb 许_verb 触摸_verb	S9 S9/S2mf G2.1/S2mf@
不_adv 能_verb 说明_verb	X2.5-
不_adv 能_verb 说明地_verb	X2.5- S1.2.6-
不_adv 能_verb 调换_verb	A2.1+/A7---
不_adv 能_verb 赎回_verb	A5.1-/A2.1
不_adv 能_verb 超越_verb	A12-/N5.1+
不_adv 能_verb 辨_verb 别的_det	A6.1+
不_adv 能_verb 逾越_verb	A6.1-
不_adv 能_verb 采信_verb	A6.2- A5.1+ A5.2-
不_adv 能_verb 防卫_verb	A5.1- A1.2-
不_adv 能_verb 防守_verb	S1.2.6- S1.2.5-
不_adv 能_verb 驳倒_verb	A7+ A5.2+
不_adv 花钱_verb 的_part 东西_noun	I1.3-
不_adv 著名的_verb	A10- A10-/Q2.2 A12+
不_adv 虚伪_adj	A10+ A5.2+ A5.4+ O4.1 B5- A13.2
不_adv 被_mark 使用_verb	A1.5.1-
不_adv 被_mark 发声_verb	X3.2- A10-
不_adv 裁决_verb	S7.4-
不_adv 装腔_verb 作势_verb	S1.2.3-
不_adv 装饰_verb	A2.1-
不_adv 触目的_verb	X3.4- A11.2- X2.2-
不_adv 让步_verb	A2.1- S1.2.5+
不_adv 讲_verb 道理_noun	G2.2-
不_adv 讲理_verb	A5.1- O4.2-
不_adv 诚实_verb	A10- A5.2- A5.4- G2.2- S1.2.4-
不_adv 象_prep 真实_verb	A5.2-
不_adv 责难_verb	G2.2+/S1.2
不_adv 贯穿_verb	A15+ A5.3+ Q4.1 F1 F2 A5.2+
不_adv 贵的_verb	I1.3-
不_adv 赚_verb 钱_noun	A1.5.2- I1.1-
不_adv 赞成_verb	G1.2/S2mf
不_adv 走歪_verb	A2.1-
不_adv 起水泡_verb	C1 F2/O2 E3+/A2.1 E6+ M8 E3+ O4.5 T2++ Z4
不_adv 超过_verb 在_prep 里面_noun	M6 Z5
不_adv 辛辣_adj	F2 S1.2.5- O4.6+ O4.1 X3.1 N3.2- N5-
不_adv 迁徙_verb	H4 H4/S2mf
不_adv 近便_verb	A3- A9-
不_adv 迷失_verb	A2.1-
不_adv 适口_verb	O4.2- F1/A5.1-
不_adv 适应_verb 环境_noun	S1.2/A5.1-
